age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	y
continuous	Private Self-emp-not-inc Self-emp-inc Federal-gov Local-gov State-gov Without-pay Never-worked	continuous	Bachelors Some-college 11th HS-grad Prof-school Assoc-acdm Assoc-voc 9th 7th-8th 12th Masters 1st-4th 10th Doctorate 5th-6th Preschool	continuous	Married-civ-spouse Divorced Never-married Separated Widowed Married-spouse-absent Married-AF-spouse	Tech-support Craft-repair Other-service Sales Exec-managerial Prof-specialty Handlers-cleaners Machine-op-inspct Adm-clerical Farming-fishing Transport-moving Priv-house-serv Protective-serv Armed-Forces	Wife Own-child Husband Not-in-family Other-relative Unmarried	White Asian-Pac-Islander Amer-Indian-Eskimo Other Black	Female Male	continuous	continuous	continuous	United-States Cuba Jamaica India Mexico South Puerto-Rico Honduras England Canada Germany Iran Philippines Italy Poland Columbia Cambodia Thailand Ecuador Laos Taiwan Haiti Portugal Dominican-Republic El-Salvador France Guatemala China Japan Yugoslavia Peru Outlying-US(Guam-USVI-etc) Scotland Trinadad&Tobago Greece Nicaragua Vietnam Hong Ireland Hungary Holand-Netherlands	>50K <=50K
														class 
49.000000	Private	193366.000000	HS-grad	9.000000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
44.000000	Private	128354.000000	Masters	14.000000	Divorced	Exec-managerial	Unmarried	White	Female	0.000000	0.000000	40.000000	United-States	<=50K
29.000000	Private	105598.000000	Some-college	10.000000	Divorced	Tech-support	Not-in-family	White	Male	0.000000	0.000000	58.000000	United-States	<=50K
76.000000	Private	124191.000000	Masters	14.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000000	0.000000	40.000000	United-States	>50K
59.000000	Private	146013.000000	Some-college	10.000000	Married-civ-spouse	Sales	Husband	White	Male	4064.000000	0.000000	40.000000	United-States	<=50K
17.000000	Private	191260.000000	9th	5.000000	Never-married	Other-service	Own-child	White	Male	1055.000000	0.000000	24.000000	United-States	<=50K
65.000000	Private	111095.000000	HS-grad	9.000000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000000	0.000000	16.000000	United-States	<=50K
24.000000	Private	303296.000000	Some-college	10.000000	Married-civ-spouse	Adm-clerical	Wife	Asian-Pac-Islander	Female	0.000000	0.000000	40.000000	Laos	<=50K
23.000000	?	211601.000000	Assoc-voc	11.000000	Never-married	?	Own-child	Black	Female	0.000000	0.000000	15.000000	United-States	<=50K
43.000000	Private	187728.000000	Some-college	10.000000	Married-civ-spouse	Prof-specialty	Wife	White	Female	0.000000	1887.000000	50.000000	United-States	>50K
22.000000	State-gov	293364.000000	Some-college	10.000000	Never-married	Protective-serv	Own-child	Black	Female	0.000000	0.000000	40.000000	United-States	<=50K
34.000000	State-gov	98101.000000	Bachelors	13.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	7688.000000	0.000000	45.000000	?	>50K
46.000000	Private	188386.000000	Doctorate	16.000000	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024.000000	0.000000	60.000000	United-States	>50K
38.000000	Private	91039.000000	Bachelors	13.000000	Married-civ-spouse	Sales	Husband	White	Male	15024.000000	0.000000	60.000000	United-States	>50K
74.000000	Private	99183.000000	Some-college	10.000000	Divorced	Adm-clerical	Not-in-family	White	Female	0.000000	0.000000	9.000000	United-States	<=50K
45.000000	Private	433665.000000	7th-8th	4.000000	Separated	Other-service	Unmarried	White	Female	0.000000	0.000000	40.000000	Mexico	<=50K
29.000000	Private	34292.000000	Some-college	10.000000	Never-married	Adm-clerical	Not-in-family	White	Male	0.000000	0.000000	60.000000	United-States	<=50K
18.000000	Private	156764.000000	11th	7.000000	Never-married	Other-service	Own-child	White	Male	0.000000	0.000000	40.000000	United-States	<=50K
