IDENTIF	RIVER	LOCATION	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
s	d	s	d	d	d	c	d	d	d	d	d	d
i		i						class	class	class	class	class
E1	2	3	1	4		2	1	1	1	1	1	1
E2	1	25	1	4	2	2	1	1	1	1	1	1
E3	1	39	1	2		1	1	1	1		1	1
E5	1	29	1	4	2	2	1	1	1	1	1	1
E6	2	23	1	4		2	1	1	1		1	1
E7	1	27	1	4	1	2	1	1	1	2	1	1
E8	1	28	1	2	2	1	1	1	2	1	1	2
E9	2	3	1	4	2	2	1	1	2	1	1	2
E10	1	39	1	2		1	1	2	1		1	1
E11	1	29	1	4	2	2	1	1	1	2	1	1
E12	1	39	1	3		2	1	2	1		1	1
E14	2	6	1	4	2	2	1	1	1	2	1	1
E13	1	33	1	4		2	1	1	1		1	1
E15	1	28	1	3		2	1	1	1		1	1
E16	1	25	1	4	2	2	1	1	2	2	2	2
E17	2	4	1	3	2	2	1	1	2	2		3
E18	1	28	1	3	2	2	1	1	2	1	1	3
E19	1	29	1	4	2	2	1	1	1	2	1	1
E20	1	32	2	4	2	2	1	1	1	2	1	1
E21	2	16	2	3		2		1	2			3
E23	2	1	2	4	2			1	3	3	3	2
E22	1	24	2	4	2	4	2	1	1	1	1	1
E24	3	45	2	3		2	2		3			3
E25	2	10	2	3		2	2		3			3
E27	1	39	2	3		2	2	1	3		3	3
E26	2	12	2	3	2	2	2	1	3	2	1	3
E30	1	31	2	3		2	2	1	3	2	3	3
E29	1	26	2	4	2	2	2	1	3	2		2
E28	2	3	2	4	2	2	2	1	3	2	1	4
E32	1	30	2	4		2	2	1	2	2	3	3
E31	2	8	2	3	2	2	2	1	3	2	1	3
E34	3	41	2	3	3	2	2	1	3	3	3	3
E33	2	19	2	4	2		2	1	2	2	3	3
E36	3	45	3	4		2	2	1	2	1	3	3
E35	1	27	3	4	2	2	2	1	3	2	3	3
E38	2	17	3	4		2	2	1	2	2	3	3
E37	2	18	3	3	2	2	2	1	3	2	1	3
E39	1	25	3	4		2	2	1	3	2	3	3
E4	1	27	3	2	2	1	1	1	1	1	1	1
E40	2	22	3	4		2	2	1	3	2	3	3
E41	2	11	3	4		2	2	1	2	2	3	3
E42	2	9	3	4	3	2	2	1	3	3	3	3
E44	3	48	3	4		2	2	1	3	3	3	2
E43	2	7	3	4	2	2	2	1	3	3	3	4
E46	1	37	3	3	3	2	2	2	3	3	3	3
E45	2	14	3	3	3		2	1	3		3	3
E47	2	15	3	3	3	2	2	1	3	2	1	3
E58	1	33	3	4	2	2	2	1	3	2	3	3
E48	1	38	3	4	3	2	2	1	3	2	3	3
E94	2	13	3	3		2	2	1	3	3	3	3
E49	1	34	3	4	2	2	2	1	3	2	3	5
E95	2	16	3	3	2	2	2	1	3	2	1	3
E87	1	35	3	3	3	2	2	1	3	2	1	3
E51	2	6	3	3	2	2	2	1	3	2	3	3
E50	2	21	3	3	2		2	1	3	3	3	3
E89	2	4	3	3	2	2	2	1	3	2	2	3
E53	1	28	3	3	1	4	2	1	3	2	2	3
E52	2	2	3	3	2		2	1	3	3	3	5
E54	4		3	4	2		2		3	2	3	3
E56	2	23	3	4			2	1	3	2	3	3
E55	1	36	3	4	2	2	2	1	3	3	3	3
E57	3	49	3	3	2	2	2	1	3	3	3	5
E59	3	43	3	4	2	2	2	1	3	3	3	5
E107	1	39	3	3			2		3		3	
E92	2	10	3	3	3		2	1	3	2	3	3
