IDENTIF	RIVER	LOCATION	ERECTED	PURPOSE	LENGTH	LANES	CLEAR-G	T-OR-D	MATERIAL	SPAN	REL-L	TYPE
d	d	d	c	d	c	c	d	d	d	d	d	d
i		i
E1	M	3	1818	HIGHWAY	?	2	N	THROUGH	WOOD	SHORT	S	WOOD
E2	A	25	1819	HIGHWAY	1037	2	N	THROUGH	WOOD	SHORT	S	WOOD
E3	A	39	1829	AQUEDUCT	?	1	N	THROUGH	WOOD	?	S	WOOD
E5	A	29	1837	HIGHWAY	1000	2	N	THROUGH	WOOD	SHORT	S	WOOD
E6	M	23	1838	HIGHWAY	?	2	N	THROUGH	WOOD	?	S	WOOD
E7	A	27	1840	HIGHWAY	990	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
E8	A	28	1844	AQUEDUCT	1000	1	N	THROUGH	IRON	SHORT	S	SUSPEN
E9	M	3	1846	HIGHWAY	1500	2	N	THROUGH	IRON	SHORT	S	SUSPEN
E10	A	39	1848	AQUEDUCT	?	1	N	DECK	WOOD	?	S	WOOD
E11	A	29	1851	HIGHWAY	1000	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
E12	A	39	1853	RR	?	2	N	DECK	WOOD	?	S	WOOD
E14	M	6	1856	HIGHWAY	1200	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
E13	A	33	1856	HIGHWAY	?	2	N	THROUGH	WOOD	?	S	WOOD
E15	A	28	1857	RR	?	2	N	THROUGH	WOOD	?	S	WOOD
E16	A	25	1859	HIGHWAY	1030	2	N	THROUGH	IRON	MEDIUM	S-F	SUSPEN
E17	M	4	1863	RR	1000	2	N	THROUGH	IRON	MEDIUM	?	SIMPLE-T
E18	A	28	1864	RR	1200	2	N	THROUGH	IRON	SHORT	S	SIMPLE-T
E19	A	29	1866	HIGHWAY	1000	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
E20	A	32	1870	HIGHWAY	1000	2	N	THROUGH	WOOD	MEDIUM	S	WOOD
E21	M	16	1874	RR	?	2	?	THROUGH	IRON	?	?	SIMPLE-T
E23	M	1	1876	HIGHWAY	1245	?	?	THROUGH	STEEL	LONG	F	SUSPEN
E22	A	24	1876	HIGHWAY	1200	4	G	THROUGH	WOOD	SHORT	S	WOOD
