buying	maint	doors	persons	lugboot	safety	y
 v-high high med low	v-high high med low	2 3 4 5-more	2 4 more	small med big	low med high	unacc acc good v-good
						class 
v-high	v-high	2	2	small	low	unacc
v-high	v-high	2	2	small	med	unacc
v-high	v-high	2	2	small	high	unacc
v-high	v-high	2	2	med	low	unacc
v-high	v-high	2	2	med	med	unacc
v-high	v-high	2	2	med	high	unacc
v-high	v-high	2	2	big	low	unacc
v-high	v-high	2	2	big	med	unacc
v-high	v-high	2	2	big	high	unacc
v-high	v-high	2	4	small	low	unacc
v-high	v-high	2	4	small	med	unacc
v-high	v-high	2	4	small	high	unacc
v-high	v-high	2	4	med	low	unacc
v-high	v-high	2	4	med	med	unacc
v-high	v-high	2	4	med	high	unacc
v-high	v-high	2	4	big	low	unacc
v-high	v-high	2	4	big	med	unacc
v-high	v-high	2	4	big	high	unacc
v-high	v-high	2	more	small	low	unacc
v-high	v-high	2	more	small	med	unacc
v-high	v-high	2	more	small	high	unacc
v-high	v-high	2	more	med	low	unacc
v-high	v-high	2	more	med	med	unacc
v-high	v-high	2	more	med	high	unacc
v-high	v-high	2	more	big	low	unacc
v-high	v-high	2	more	big	med	unacc
v-high	v-high	2	more	big	high	unacc
v-high	v-high	3	2	small	low	unacc
v-high	v-high	3	2	small	med	unacc
v-high	v-high	3	2	small	high	unacc
v-high	v-high	3	2	med	low	unacc
v-high	v-high	3	2	med	med	unacc
v-high	v-high	3	2	med	high	unacc
v-high	v-high	3	2	big	low	unacc
v-high	v-high	3	2	big	med	unacc
v-high	v-high	3	2	big	high	unacc
v-high	v-high	3	4	small	low	unacc
v-high	v-high	3	4	small	med	unacc
v-high	v-high	3	4	small	high	unacc
v-high	v-high	3	4	med	low	unacc
v-high	v-high	3	4	med	med	unacc
v-high	v-high	3	4	med	high	unacc
v-high	v-high	3	4	big	low	unacc
v-high	v-high	3	4	big	med	unacc
v-high	v-high	3	4	big	high	unacc
v-high	v-high	3	more	small	low	unacc
v-high	v-high	3	more	small	med	unacc
v-high	v-high	3	more	small	high	unacc
v-high	v-high	3	more	med	low	unacc
v-high	v-high	3	more	med	med	unacc
v-high	v-high	3	more	med	high	unacc
v-high	v-high	3	more	big	low	unacc
v-high	v-high	3	more	big	med	unacc
v-high	v-high	3	more	big	high	unacc
v-high	v-high	4	2	small	low	unacc
v-high	v-high	4	2	small	med	unacc
v-high	v-high	4	2	small	high	unacc
v-high	v-high	4	2	med	low	unacc
v-high	v-high	4	2	med	med	unacc
v-high	v-high	4	2	med	high	unacc
v-high	v-high	4	2	big	low	unacc
v-high	v-high	4	2	big	med	unacc
v-high	v-high	4	2	big	high	unacc
v-high	v-high	4	4	small	low	unacc
v-high	v-high	4	4	small	med	unacc
v-high	v-high	4	4	small	high	unacc
v-high	v-high	4	4	med	low	unacc
v-high	v-high	4	4	med	med	unacc
v-high	v-high	4	4	med	high	unacc
v-high	v-high	4	4	big	low	unacc
v-high	v-high	4	4	big	med	unacc
v-high	v-high	4	4	big	high	unacc
v-high	v-high	4	more	small	low	unacc
v-high	v-high	4	more	small	med	unacc
v-high	v-high	4	more	small	high	unacc
v-high	v-high	4	more	med	low	unacc
v-high	v-high	4	more	med	med	unacc
v-high	v-high	4	more	med	high	unacc
v-high	v-high	4	more	big	low	unacc
v-high	v-high	4	more	big	med	unacc
v-high	v-high	4	more	big	high	unacc
v-high	v-high	5-more	2	small	low	unacc
v-high	v-high	5-more	2	small	med	unacc
v-high	v-high	5-more	2	small	high	unacc
v-high	v-high	5-more	2	med	low	unacc
v-high	v-high	5-more	2	med	med	unacc
v-high	v-high	5-more	2	med	high	unacc
v-high	v-high	5-more	2	big	low	unacc
v-high	v-high	5-more	2	big	med	unacc
v-high	v-high	5-more	2	big	high	unacc
v-high	v-high	5-more	4	small	low	unacc
v-high	v-high	5-more	4	small	med	unacc
v-high	v-high	5-more	4	small	high	unacc
v-high	v-high	5-more	4	med	low	unacc
v-high	v-high	5-more	4	med	med	unacc
v-high	v-high	5-more	4	med	high	unacc
v-high	v-high	5-more	4	big	low	unacc
v-high	v-high	5-more	4	big	med	unacc
v-high	v-high	5-more	4	big	high	unacc
v-high	v-high	5-more	more	small	low	unacc
v-high	v-high	5-more	more	small	med	unacc
v-high	v-high	5-more	more	small	high	unacc
v-high	v-high	5-more	more	med	low	unacc
v-high	v-high	5-more	more	med	med	unacc
v-high	v-high	5-more	more	med	high	unacc
v-high	v-high	5-more	more	big	low	unacc
v-high	v-high	5-more	more	big	med	unacc
v-high	v-high	5-more	more	big	high	unacc
v-high	high	2	2	small	low	unacc
v-high	high	2	2	small	med	unacc
v-high	high	2	2	small	high	unacc
v-high	high	2	2	med	low	unacc
v-high	high	2	2	med	med	unacc
v-high	high	2	2	med	high	unacc
v-high	high	2	2	big	low	unacc
v-high	high	2	2	big	med	unacc
v-high	high	2	2	big	high	unacc
v-high	high	2	4	small	low	unacc
v-high	high	2	4	small	med	unacc
v-high	high	2	4	small	high	unacc
v-high	high	2	4	med	low	unacc
v-high	high	2	4	med	med	unacc
v-high	high	2	4	med	high	unacc
v-high	high	2	4	big	low	unacc
v-high	high	2	4	big	med	unacc
v-high	high	2	4	big	high	unacc
v-high	high	2	more	small	low	unacc
v-high	high	2	more	small	med	unacc
v-high	high	2	more	small	high	unacc
v-high	high	2	more	med	low	unacc
v-high	high	2	more	med	med	unacc
v-high	high	2	more	med	high	unacc
v-high	high	2	more	big	low	unacc
v-high	high	2	more	big	med	unacc
v-high	high	2	more	big	high	unacc
v-high	high	3	2	small	low	unacc
v-high	high	3	2	small	med	unacc
v-high	high	3	2	small	high	unacc
v-high	high	3	2	med	low	unacc
v-high	high	3	2	med	med	unacc
v-high	high	3	2	med	high	unacc
v-high	high	3	2	big	low	unacc
v-high	high	3	2	big	med	unacc
v-high	high	3	2	big	high	unacc
v-high	high	3	4	small	low	unacc
v-high	high	3	4	small	med	unacc
v-high	high	3	4	small	high	unacc
v-high	high	3	4	med	low	unacc
