Country	Landmass	Zone	Area	Population	Language	Religion	Bars	Stripes	Colors	Red	Green	Blue	Gold	White	Black	Orange	MainHue	Circles	Crosses	Saltires	Quarters	Sunstars	Crescent	Triangle	Icon	Animate	Text	TopLeft	BotRight
string	d	d	c	c	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d
i
Afghanistan	5	1	648	16	10	2	0	3	5	1	1	0	1	1	1	0	green	0	0	0	0	1	0	0	1	0	0	black	green
Albania	3	1	29	3	6	6	0	0	3	1	0	0	1	0	1	0	red	0	0	0	0	1	0	0	0	1	0	red	red
Algeria	4	1	2388	20	8	2	2	0	3	1	1	0	0	1	0	0	green	0	0	0	0	1	1	0	0	0	0	green	white
American-Samoa	6	3	0	0	1	1	0	0	5	1	0	1	1	1	0	1	blue	0	0	0	0	0	0	1	1	1	0	blue	red
Andorra	3	1	0	0	6	0	3	0	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	blue	red
Angola	4	2	1247	7	10	5	0	2	3	1	0	0	1	0	1	0	red	0	0	0	0	1	0	0	1	0	0	red	black
Anguilla	1	4	0	0	1	1	0	1	3	0	0	1	0	1	0	1	white	0	0	0	0	0	0	0	0	1	0	white	blue
Antigua-Barbuda	1	4	0	0	1	1	0	1	5	1	0	1	1	1	1	0	red	0	0	0	0	1	0	1	0	0	0	black	red
Argentina	2	3	2777	28	2	0	0	3	2	0	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
Argentine	2	3	2777	28	2	0	0	3	3	0	0	1	1	1	0	0	blue	0	0	0	0	1	0	0	0	0	0	blue	blue
Australia	6	2	7690	15	1	1	0	0	3	1	0	1	0	1	0	0	blue	0	1	1	1	6	0	0	0	0	0	white	blue
Austria	3	1	84	8	4	0	0	3	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	red	red
Bahamas	1	4	19	0	1	1	0	3	3	0	0	1	1	0	1	0	blue	0	0	0	0	0	0	1	0	0	0	blue	blue
Bahrain	5	1	1	0	8	2	0	0	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	0	0	white	red
Bangladesh	5	1	143	90	6	2	0	0	2	1	1	0	0	0	0	0	green	1	0	0	0	0	0	0	0	0	0	green	green
Barbados	1	4	0	0	1	1	3	0	3	0	0	1	1	0	1	0	blue	0	0	0	0	0	0	0	1	0	0	blue	blue
Belgium	3	1	31	10	6	0	3	0	3	1	0	0	1	0	1	0	gold	0	0	0	0	0	0	0	0	0	0	black	red
Belize	1	4	23	0	1	1	0	2	8	1	1	1	1	1	1	1	blue	1	0	0	0	0	0	0	1	1	1	red	red
Benin	4	1	113	3	3	5	0	0	2	1	1	0	0	0	0	0	green	0	0	0	0	1	0	0	0	0	0	green	green
Bermuda	1	4	0	0	1	1	0	0	6	1	1	1	1	1	1	0	red	1	1	1	1	0	0	0	1	1	0	white	red
Bhutan	5	1	47	1	10	3	0	0	4	1	0	0	0	1	1	1	orange	4	0	0	0	0	0	0	0	1	0	orange	red
Bolivia	2	3	1099	6	2	0	0	3	3	1	1	0	1	0	0	0	red	0	0	0	0	0	0	0	0	0	0	red	green
Botswana	4	2	600	1	10	5	0	5	3	0	0	1	0	1	1	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
Brazil	2	3	8512	119	6	0	0	0	4	0	1	1	1	1	0	0	green	1	0	0	0	22	0	0	0	0	1	green	green
British-Virgin-Isles	1	4	0	0	1	1	0	0	6	1	1	1	1	1	0	1	blue	0	1	1	1	0	0	0	1	1	1	white	blue
Brunei	5	1	6	0	10	2	0	0	4	1	0	0	1	1	1	0	gold	0	0	0	0	0	0	1	1	1	1	white	gold
Bulgaria	3	1	111	9	5	6	0	3	5	1	1	1	1	1	0	0	red	0	0	0	0	1	0	0	1	1	0	white	red
Burkina	4	4	274	7	3	5	0	2	3	1	1	0	1	0	0	0	red	0	0	0	0	1	0	0	0	0	0	red	green
Burma	5	1	678	35	10	3	0	0	3	1	0	1	0	1	0	0	red	0	0	0	1	14	0	0	1	1	0	blue	red
Burundi	4	2	28	4	10	5	0	0	3	1	1	0	0	1	0	0	red	1	0	1	0	3	0	0	0	0	0	white	white
Cameroon	4	1	474	8	3	1	3	0	3	1	1	0	1	0	0	0	gold	0	0	0	0	1	0	0	0	0	0	green	gold
Canada	1	4	9976	24	1	1	2	0	2	1	0	0	0	1	0	0	red	0	0	0	0	0	0	0	0	1	0	red	red
Cape-Verde-Islands	4	4	4	0	6	0	1	2	5	1	1	0	1	0	1	1	gold	0	0	0	0	1	0	0	0	1	0	red	green
Cayman-Islands	1	4	0	0	1	1	0	0	6	1	1	1	1	1	0	1	blue	1	1	1	1	4	0	0	1	1	1	white	blue
Central-African-Republic	4	1	623	2	10	5	1	0	5	1	1	1	1	1	0	0	gold	0	0	0	0	1	0	0	0	0	0	blue	gold
Chad	4	1	1284	4	3	5	3	0	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	blue	red
Chile	2	3	757	11	2	0	0	2	3	1	0	1	0	1	0	0	red	0	0	0	1	1	0	0	0	0	0	blue	red
China	5	1	9561	1008	7	6	0	0	2	1	0	0	1	0	0	0	red	0	0	0	0	5	0	0	0	0	0	red	red
Colombia	2	4	1139	28	2	0	0	3	3	1	0	1	1	0	0	0	gold	0	0	0	0	0	0	0	0	0	0	gold	red
Comorro-Islands	4	2	2	0	3	2	0	0	2	0	1	0	0	1	0	0	green	0	0	0	0	4	1	0	0	0	0	green	green
Congo	4	2	342	2	10	5	0	0	3	1	1	0	1	0	0	0	red	0	0	0	0	1	0	0	1	1	0	red	red
Cook-Islands	6	3	0	0	1	1	0	0	4	1	0	1	0	1	0	0	blue	1	1	1	1	15	0	0	0	0	0	white	blue
Costa-Rica	1	4	51	2	2	0	0	5	3	1	0	1	0	1	0	0	blue	0	0	0	0	0	0	0	0	0	0	blue	blue
Cuba	1	4	115	10	2	6	0	5	3	1	0	1	0	1	0	0	blue	0	0	0	0	1	0	1	0	0	0	blue	blue
Cyprus	3	1	9	1	6	1	0	0	3	0	1	0	1	1	0	0	white	0	0	0	0	0	0	0	1	1	0	white	white
Czechoslovakia	3	1	128	15	5	6	0	0	3	1	0	1	0	1	0	0	white	0	0	0	0	0	0	1	0	0	0	white	red
Denmark	3	1	43	5	6	1	0	0	2	1	0	0	0	1	0	0	red	0	1	0	0	0	0	0	0	0	0	red	red
Djibouti	4	1	22	0	3	2	0	0	4	1	1	1	0	1	0	0	blue	0	0	0	0	1	0	1	0	0	0	white	green
Dominica	1	4	0	0	1	1	0	0	6	1	1	1	1	1	1	0	green	1	0	0	0	10	0	0	0	1	0	green	green
