y	a	b	c	d	e	f	instance
0 1	1 2 3	1 2 3	1 2	1 2 3	1 2 3 4	1 2	string
class							i
0	1	1	1	1	2	2	data_4
0	1	1	1	1	4	1	data_7
0	1	1	1	2	1	1	data_9
0	1	1	1	2	1	2	data_10
0	1	1	1	2	2	1	data_11
0	1	1	1	2	3	1	data_13
0	1	1	1	2	4	1	data_15
0	1	1	1	3	2	1	data_19
0	1	1	1	3	4	1	data_23
0	1	1	2	1	1	1	data_25
0	1	1	2	1	1	2	data_26
0	1	1	2	2	3	1	data_37
0	1	1	2	2	4	1	data_39
1	1	1	2	2	4	2	data_40
0	1	1	2	3	1	2	data_42
1	1	1	2	3	2	2	data_44
0	1	2	1	1	1	2	data_50
0	1	2	1	2	1	2	data_58
1	1	2	1	2	2	2	data_60
0	1	2	1	2	3	1	data_61
1	1	2	1	2	3	2	data_62
0	1	2	1	2	4	1	data_63
0	1	2	1	3	1	1	data_65
0	1	2	1	3	1	2	data_66
1	1	2	1	3	2	2	data_68
0	1	2	1	3	3	1	data_69
1	1	2	1	3	3	2	data_70
0	1	2	1	3	4	1	data_71
1	1	2	1	3	4	2	data_72
0	1	2	2	1	2	1	data_75
0	1	2	2	1	4	1	data_79
1	1	2	2	2	3	1	data_85
1	1	2	2	2	4	1	data_87
0	1	2	2	3	1	1	data_89
1	1	2	2	3	1	2	data_90
1	1	2	2	3	3	1	data_93
0	1	2	2	3	3	2	data_94
1	1	2	2	3	4	1	data_95
0	1	2	2	3	4	2	data_96
0	1	3	1	1	1	2	data_98
0	1	3	1	1	2	2	data_100
0	1	3	1	1	3	1	data_101
0	1	3	1	1	3	2	data_102
0	1	3	1	2	2	1	data_107
1	1	3	1	2	2	2	data_108
1	1	3	1	2	3	2	data_110
0	1	3	1	2	4	1	data_111
1	1	3	1	3	2	2	data_116
0	1	3	1	3	3	1	data_117
1	1	3	1	3	4	2	data_120
0	1	3	2	1	3	1	data_125
1	1	3	2	1	3	2	data_126
0	1	3	2	1	4	1	data_127
1	1	3	2	2	1	2	data_130
0	1	3	2	2	3	2	data_134
0	1	3	2	2	4	2	data_136
1	1	3	2	3	2	1	data_139
0	2	1	1	1	1	1	data_145
0	2	1	1	1	2	2	data_148
0	2	1	1	1	3	1	data_149
1	2	1	1	2	2	2	data_156
0	2	1	1	3	1	2	data_162
1	2	1	1	3	2	2	data_164
1	2	1	1	3	3	2	data_166
0	2	1	1	3	4	1	data_167
0	2	1	2	1	1	1	data_169
1	2	1	2	1	2	2	data_172
0	2	1	2	1	4	1	data_175
1	2	1	2	2	2	1	data_179
0	2	1	2	2	4	2	data_184
0	2	1	2	3	1	1	data_185
1	2	1	2	3	1	2	data_186
0	2	1	2	3	2	2	data_188
0	2	1	2	3	3	2	data_190
0	2	1	2	3	4	2	data_192
0	2	2	1	1	3	1	data_197
1	2	2	1	1	4	2	data_200
0	2	2	1	2	1	1	data_201
1	2	2	1	2	3	1	data_205
1	2	2	1	3	3	1	data_213
