X1	X2	X3	Y1	Y2	Y3	Y4
continuous	continuous	continuous	continuous	continuous	continuous	continuous
			class	class	class	class
0.628	0.095	0.652	0.490	1.237	1.808	0.422
0.007	0.218	0.294	0.167	-0.664	-1.378	0.589
0.863	-0.139	0.785	0.858	1.687	2.540	0.093
-0.048	0.737	0.928	-0.026	-2.253	-4.619	0.552
0.914	0.518	1.439	0.800	-0.185	-1.118	0.080
0.208	0.241	0.270	0.305	0.182	0.208	0.937
0.725	0.751	1.308	0.732	-0.389	-1.435	0.557
0.696	0.772	1.613	0.702	-1.167	-2.950	0.943
0.820	0.232	1.286	0.820	0.802	0.802	0.561
0.344	0.524	0.914	0.603	-1.272	-2.809	0.047
0.137	0.526	0.827	0.148	-1.540	-3.193	0.971
0.833	-0.137	0.796	0.843	1.656	2.414	0.435
0.509	0.899	1.345	0.453	-1.782	-4.122	0.298
0.736	0.748	1.080	0.596	-0.552	-1.744	0.324
0.156	0.799	0.936	0.052	-2.574	-5.335	0.086
0.497	-0.101	0.634	0.568	0.690	0.869	0.872
0.266	0.172	0.661	0.506	0.356	0.284	0.438
0.532	0.211	0.577	0.479	0.679	0.879	0.631
0.253	0.876	1.146	0.377	-2.247	-4.670	0.936
0.610	0.295	1.060	0.613	-0.371	-1.269	0.467
0.774	0.669	1.328	0.781	-0.513	-1.813	0.190
0.435	0.496	0.966	0.398	-0.287	-1.119	0.051
1.223	0.792	1.870	0.950	-0.579	-2.150	0.401
0.137	0.372	0.461	-0.049	-1.242	-2.426	0.995
0.603	0.788	1.403	0.530	-1.204	-3.007	0.057
0.619	0.456	1.127	0.574	-0.287	-1.035	0.675
0.293	0.072	0.240	0.157	-0.005	-0.181	0.523
0.919	0.132	1.021	1.026	1.230	1.608	0.752
0.406	0.455	0.593	0.103	-1.252	-2.345	0.881
0.983	0.528	1.209	0.748	0.795	0.699	0.008
0.695	0.097	1.149	0.854	0.835	0.933	0.272
0.646	0.853	1.312	0.720	-0.783	-2.279	0.092
0.595	0.281	0.649	0.364	0.010	-0.530	0.428
0.170	-0.070	-0.097	-0.044	-0.256	-0.549	0.127
0.365	0.709	1.263	0.268	-2.080	-4.422	0.780
0.842	0.367	1.471	0.799	0.730	0.548	0.881
-0.089	0.938	0.826	-0.164	-2.131	-4.359	0.787
0.153	0.817	1.025	0.007	-2.461	-4.862	0.228
-0.071	0.369	0.296	0.007	-0.596	-1.294	0.981
0.735	1.115	1.587	0.767	-1.750	-3.988	0.435
0.635	0.240	0.944	0.815	0.511	0.451	0.002
0.894	0.377	1.419	0.842	0.369	-0.124	0.330
0.298	0.765	1.125	0.409	-1.985	-4.235	0.127
0.325	0.747	1.298	0.364	-1.983	-4.387	0.287
0.367	0.488	0.945	0.455	-1.092	-2.578	0.796
0.029	0.071	0.160	0.329	0.086	-0.147	0.225
0.203	0.138	0.246	0.168	0.204	0.281	0.194
0.702	0.640	1.357	0.702	-0.084	-0.912	0.425
0.144	0.954	1.135	0.370	-2.695	-5.518	0.668
1.188	0.530	1.462	0.884	0.001	-0.991	0.548
0.821	0.756	1.643	1.040	-0.425	-1.867	0.627
0.257	0.155	0.299	0.387	0.364	0.508	0.694
0.602	0.133	0.712	0.741	1.030	1.458	0.584
0.705	0.759	1.645	0.699	-1.175	-3.241	0.953
0.289	0.709	1.179	0.488	-1.427	-3.263	0.336
0.736	0.501	1.180	0.779	0.244	-0.174	0.564
0.100	0.727	0.763	0.057	-1.853	-3.646	0.761
0.417	0.686	1.148	0.389	-1.916	-4.316	0.350
0.553	0.645	1.495	0.629	-0.986	-2.616	0.126
0.700	0.716	1.240	0.609	-0.483	-1.738	0.115
0.837	0.979	1.727	0.958	-1.158	-3.162	0.715
0.044	0.657	0.794	-0.117	-1.961	-4.028	0.984
0.696	0.389	1.039	0.779	0.633	0.332	0.106
1.035	0.498	1.447	1.025	0.092	-0.793	0.808
0.389	0.547	0.999	0.732	-0.353	-1.282	0.882
0.169	0.402	0.901	0.279	-0.878	-1.936	0.798
0.316	0.804	1.463	0.356	-1.823	-3.905	0.489
0.687	0.598	1.461	0.716	-0.528	-1.664	0.306
0.478	0.453	1.053	0.492	-0.280	-1.217	0.251
0.211	0.277	0.318	0.057	-0.312	-0.633	0.725
0.967	0.570	1.526	1.044	0.387	-0.188	0.534
0.128	0.923	1.390	0.418	-2.577	-5.417	0.574
0.482	0.470	1.016	0.428	-0.338	-1.237	0.074
0.706	0.157	0.577	0.931	1.223	1.932	0.606
0.682	0.210	0.831	0.861	0.990	1.183	0.621
0.674	0.718	1.385	0.752	-0.967	-2.492	0.075
-0.066	0.404	0.471	0.158	-1.378	-2.864	0.687
0.820	0.684	1.808	0.881	-0.654	-2.273	0.908
0.870	0.145	0.897	0.697	1.427	2.077	0.689
0.583	0.942	1.667	0.714	-1.509	-3.681	0.250
0.159	0.850	1.428	-0.029	-2.740	-5.642	0.040
0.627	0.289	1.282	0.877	0.024	-0.795	0.091
0.253	0.160	0.607	0.483	-0.361	-0.837	0.814
0.515	0.536	1.105	0.531	-0.561	-1.699	0.658
0.579	0.501	0.962	0.403	-0.150	-0.911	0.549
0.911	0.390	1.501	0.905	0.545	0.221	0.551
0.773	0.082	0.597	0.564	0.883	1.111	0.717
0.651	0.032	0.787	0.635	0.029	-0.299	0.508
0.850	1.038	1.543	0.998	-1.019	-2.925	0.283
0.415	0.586	0.959	0.399	-1.235	-2.664	0.543
0.513	0.465	0.711	0.424	-0.050	-0.585	0.745
0.594	0.908	1.638	0.451	-1.051	-2.807	0.502
0.666	0.793	1.351	0.572	-1.446	-3.584	0.655
0.244	0.452	0.573	0.019	-0.983	-2.277	0.859
0.347	0.151	0.715	0.361	-0.062	-0.444	0.921
0.956	0.765	1.609	0.846	-0.390	-1.724	0.903
0.020	0.889	0.917	0.144	-2.459	-5.035	0.170
0.025	0.820	0.997	0.050	-2.529	-5.118	0.255
0.132	0.717	0.873	0.100	-2.470	-4.840	0.639
0.462	0.195	0.588	0.500	0.109	-0.077	0.575
