Sponge	A.CAPAS_DEL_CORTEX 	A.CAPA_INTERNA_DEL_CORTEX 	A.CORTEX 	A.CORTEX_FIBROSO 	A.CORTEX_SOLO_DE_ESPICULAS_TANGENCIALES 	A.CUERPOS_EXTRANOS_EN_EL_CORTEX 	A.GROSOR_DEL_CORTEX 	A.HACES_DE_ESPICULAS_PRINCIPALES_EN_POMPON_EN_EL_CORTEX 	A.TILOSTILOS_ADICIONALES_COANOSOMA	B.NUMERO_DE_TIPOS_DE_MEGASCLERAS 	C.TIPO_ESPICULA_PRINCIPAL_DIACTINA_TUBERCULADA 	C.TIPO_ESPICULA_PRINCIPAL_ESTILO 	C.TIPO_ESPICULA_PRINCIPAL_ESTILOS_2_TAMANOS 	C.TIPO_ESPICULA_PRINCIPAL_ESTILO_TILOSTILO 	C.TIPO_ESPICULA_PRINCIPAL_ESTRONGILOXA 	C.TIPO_ESPICULA_PRINCIPAL_OXAS 	C.TIPO_ESPICULA_PRINCIPAL_TILOSTILO 	D.ESPICULA_PRINCIPAL_ESTILO 	D.ESPICULA_PRINCIPAL_TILOSTILO 	D.FORMA_BASE_TILOSTILO_PRINCIPAL 	E.DISPOSICION_MEGASCLERAS_ECTOSOMICAS_EN_EL_ECTOSOMA 	E.FORMA_BASE_TILOSTILO_ECTOSOMICO 	E.FORMA_MEGASCLERA_ECTOSOMICA 	E.TIPO_MEGASCLERA_ECTOSOMICA 	F.TIPO_DE_EXOSTILO 	G.FORMA_MEGASCLERA_INTERMEDIARIA 	G.TIPO_MEGASCLERA_INTERMEDIARIA 	H.LONGITUD_MEGASCLERAS 	I.MICROSCLERAS 	I.TIPO_MICROSCLERA 	J.ASTER 	J.DIAMETRO_ESFERASTER 	J.TIPO_DE_ASTER 	J.TIPO_DE_DIPLASTER 	J.TIPO_DE_ESFERASTER 	K.FORMA_FINAL 	L.NUMERO_DE_PAPILAS 	L.PAPILAS 	M.COLOR 	N.SUPERFICIE 	O.DISPOSICION_ESPICULAR_ESQUELETO 	P.ALOJA_CANGREJO_ERMITANO 	P.PERFORANTE 	P.PSEUDORAICES 	P.SUSTRATO
string	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d	d
i
AAPTOS_AAPTOS	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	NO	NO	NO	3	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	SI	NO	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	ESTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	0	NO	OTROS	RUGOSA	RADIAL	NO	NO	NO	DURO
ALECTONA_MILLARI	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	SI	NO	NO	NO	NO	NO	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	ASTER	SI	SIN_ESFERASTER	ANFIASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	?	LISA	CONFUSA	NO	SI	NO	DURO
CLIONA_CARTERI	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	SI	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	ASTER	SI	SIN_ESFERASTER	ESPIRASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	1	SI	OTROS	LISA	CONFUSA	NO	SI	NO	DURO
CLIONA_CELATA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	SI	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	TRILOBULADA	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	NO	SIN_MICROSCLERAS	SI	SIN_ESFERASTER	ESPIRASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	3	SI	OTROS	LISA	CONFUSA	NO	SI	NO	DURO
CLIONA_LABYRINTHICA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	SI	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	0	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	OTROS	LISA	CONFUSA	NO	SI	NO	DURO
CLIONA_SCHMIDTI	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	0	SI	ASTER	SI	SIN_ESFERASTER	ESPIRASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	1	SI	OTROS	LISA	CONFUSA	NO	SI	NO	DURO
CLIONA_VIRIDIS	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	SI	NO	NO	4	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	SI	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	ASTER	SI	SIN_ESFERASTER	ESPIRASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	3	SI	OTROS	LISA	CONFUSA	NO	SI	NO	DURO
DIPLASTRELLA_BISTELLATA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	ASTER	SI	SIN_ESFERASTER	DIPLASTER	CON_ACTINAS_SIMPLES	SIN_ESFERASTER	INCRUSTANTE	0	NO	OTROS	LISA	HYMEDESMOIDE	NO	NO	NO	DURO
