tl	tm	tr	ml	mm	mr	bl	bm	br	y
x o b	x o b	x o b	x o b	x o b	x o b	x o b	x o b	x o b	p n
									class
x	x	x	x	o	o	x	o	o	p
x	x	x	x	o	o	o	x	o	p
x	x	x	x	o	o	o	o	x	p
x	x	x	x	o	o	o	b	b	p
x	x	x	x	o	o	b	o	b	p
x	x	x	x	o	o	b	b	o	p
x	x	x	x	o	b	o	o	b	p
x	x	x	x	o	b	o	b	o	p
x	x	x	x	o	b	b	o	o	p
x	x	x	x	b	o	o	o	b	p
x	x	x	x	b	o	o	b	o	p
x	x	x	x	b	o	b	o	o	p
x	x	x	o	x	o	x	o	o	p
x	x	x	o	x	o	o	x	o	p
x	x	x	o	x	o	o	o	x	p
x	x	x	o	x	o	o	b	b	p
x	x	x	o	x	o	b	o	b	p
x	x	x	o	x	o	b	b	o	p
x	x	x	o	x	b	o	o	b	p
x	x	x	o	x	b	o	b	o	p
x	x	x	o	x	b	b	o	o	p
x	x	x	o	o	x	x	o	o	p
x	x	x	o	o	x	o	x	o	p
x	x	x	o	o	x	o	o	x	p
x	x	x	o	o	x	o	b	b	p
x	x	x	o	o	x	b	o	b	p
x	x	x	o	o	x	b	b	o	p
x	x	x	o	o	b	x	o	b	p
x	x	x	o	o	b	x	b	o	p
x	x	x	o	o	b	o	x	b	p
x	x	x	o	o	b	o	b	x	p
x	x	x	o	o	b	b	x	o	p
x	x	x	o	o	b	b	o	x	p
x	x	x	o	o	b	b	b	b	p
x	x	x	o	b	x	o	o	b	p
x	x	x	o	b	x	o	b	o	p
x	x	x	o	b	x	b	o	o	p
x	x	x	o	b	o	x	o	b	p
x	x	x	o	b	o	x	b	o	p
x	x	x	o	b	o	o	x	b	p
x	x	x	o	b	o	o	b	x	p
x	x	x	o	b	o	b	x	o	p
x	x	x	o	b	o	b	o	x	p
x	x	x	o	b	o	b	b	b	p
x	x	x	o	b	b	x	o	o	p
x	x	x	o	b	b	o	x	o	p
x	x	x	o	b	b	o	o	x	p
x	x	x	o	b	b	o	b	b	p
x	x	x	o	b	b	b	o	b	p
x	x	x	o	b	b	b	b	o	p
x	x	x	b	x	o	o	o	b	p
x	x	x	b	x	o	o	b	o	p
x	x	x	b	x	o	b	o	o	p
x	x	x	b	o	x	o	o	b	p
x	x	x	b	o	x	o	b	o	p
x	x	x	b	o	x	b	o	o	p
x	x	x	b	o	o	x	o	b	p
x	x	x	b	o	o	x	b	o	p
x	x	x	b	o	o	o	x	b	p
x	x	x	b	o	o	o	b	x	p
x	x	x	b	o	o	b	x	o	p
x	x	x	b	o	o	b	o	x	p
x	x	x	b	o	o	b	b	b	p
x	x	x	b	o	b	x	o	o	p
x	x	x	b	o	b	o	x	o	p
x	x	x	b	o	b	o	o	x	p
x	x	x	b	o	b	o	b	b	p
x	x	x	b	o	b	b	o	b	p
x	x	x	b	o	b	b	b	o	p
x	x	x	b	b	o	x	o	o	p
x	x	x	b	b	o	o	x	o	p
x	x	x	b	b	o	o	o	x	p
x	x	x	b	b	o	o	b	b	p
x	x	x	b	b	o	b	o	b	p
x	x	x	b	b	o	b	b	o	p
x	x	x	b	b	b	o	o	b	p
x	x	x	b	b	b	o	b	o	p
x	x	x	b	b	b	b	o	o	p
x	x	o	x	x	o	o	o	x	p
x	x	o	x	o	x	x	o	o	p
x	x	o	x	o	o	x	o	x	p
x	x	o	x	o	o	x	b	b	p
x	x	o	x	o	b	x	o	b	p
x	x	o	x	o	b	x	b	o	p
x	x	o	x	b	o	x	o	b	p
x	x	o	x	b	b	x	o	o	p
x	x	o	o	x	x	o	x	o	p
x	x	o	o	x	x	o	o	x	p
x	x	o	o	x	o	x	o	x	p
x	x	o	o	x	o	o	x	x	p
x	x	o	o	x	o	b	x	b	p
x	x	o	o	x	o	b	b	x	p
x	x	o	o	x	b	o	x	b	p
x	x	o	o	x	b	o	b	x	p
x	x	o	o	x	b	b	x	o	p
x	x	o	o	x	b	b	o	x	p
x	x	o	b	x	o	o	x	b	p
x	x	o	b	x	o	o	b	x	p
x	x	o	b	x	o	b	o	x	p
x	x	o	b	x	b	o	x	o	p
x	x	o	b	x	b	o	o	x	p
x	x	b	x	o	o	x	o	b	p
x	x	b	x	o	o	x	b	o	p
x	x	b	x	o	b	x	o	o	p
x	x	b	x	b	o	x	o	o	p
x	x	b	o	x	o	o	x	b	p
x	x	b	o	x	o	o	b	x	p
x	x	b	o	x	o	b	x	o	p
x	x	b	o	x	o	b	o	x	p
x	x	b	o	x	b	o	x	o	p
x	x	b	o	x	b	o	o	x	p
x	x	b	b	x	o	o	x	o	p
x	x	b	b	x	o	o	o	x	p
x	o	x	x	x	o	x	o	o	p
x	o	x	x	x	o	o	o	x	p
x	o	x	x	o	o	x	x	o	p
x	o	x	x	o	o	x	b	b	p
x	o	x	x	o	b	x	b	o	p
x	o	x	x	b	o	x	o	b	p
x	o	x	x	b	o	x	b	o	p
x	o	x	x	b	b	x	o	o	p
x	o	x	o	x	x	x	o	o	p
x	o	x	o	x	x	o	o	x	p
x	o	x	o	x	o	x	x	o	p
x	o	x	o	x	o	x	o	x	p
x	o	x	o	x	o	x	b	b	p
x	o	x	o	x	o	o	x	x	p
x	o	x	o	x	o	b	b	x	p
x	o	x	o	x	b	x	o	b	p
x	o	x	o	x	b	x	b	o	p
x	o	x	o	x	b	o	b	x	p
x	o	x	o	x	b	b	o	x	p
x	o	x	o	o	x	o	x	x	p
x	o	x	o	o	x	b	b	x	p
x	o	x	o	b	x	o	b	x	p
x	o	x	o	b	x	b	o	x	p
x	o	x	b	x	o	x	o	b	p
x	o	x	b	x	o	x	b	o	p
x	o	x	b	x	o	o	b	x	p
x	o	x	b	x	o	b	o	x	p
x	o	x	b	x	b	x	o	o	p
x	o	x	b	x	b	o	o	x	p
x	o	x	b	o	x	o	b	x	p
x	o	x	b	b	x	o	o	x	p
x	o	o	x	x	x	x	o	o	p
x	o	o	x	x	x	o	x	o	p
x	o	o	x	x	x	o	o	x	p
x	o	o	x	x	x	o	b	b	p
x	o	o	x	x	x	b	o	b	p
x	o	o	x	x	x	b	b	o	p
x	o	o	x	x	o	x	o	x	p
x	o	o	x	x	o	x	b	b	p
x	o	o	x	x	o	o	x	x	p
x	o	o	x	x	o	b	b	x	p
x	o	o	x	x	b	x	o	b	p
x	o	o	x	x	b	x	b	o	p
x	o	o	x	x	b	o	b	x	p
x	o	o	x	x	b	b	o	x	p
x	o	o	x	o	x	x	x	o	p
x	o	o	x	o	x	x	b	b	p
x	o	o	x	o	o	x	x	x	p
x	o	o	x	o	b	x	x	b	p
x	o	o	x	o	b	x	b	x	p
x	o	o	x	b	x	x	o	b	p
x	o	o	x	b	x	x	b	o	p
x	o	o	x	b	o	x	x	b	p
x	o	o	x	b	o	x	b	x	p
x	o	o	x	b	b	x	x	o	p
x	o	o	x	b	b	x	o	x	p
x	o	o	x	b	b	x	b	b	p
x	o	o	o	x	x	x	o	x	p
x	o	o	o	x	x	o	x	x	p
x	o	o	o	x	x	b	b	x	p
x	o	o	o	x	o	x	x	x	p
x	o	o	o	x	b	x	b	x	p
x	o	o	o	x	b	b	x	x	p
x	o	o	o	o	x	x	x	x	p
x	o	o	o	b	b	x	x	x	p
x	o	o	b	x	x	o	b	x	p
x	o	o	b	x	x	b	o	x	p
x	o	o	b	x	o	x	b	x	p
x	o	o	b	x	o	b	x	x	p
x	o	o	b	x	b	x	o	x	p
x	o	o	b	x	b	o	x	x	p
x	o	o	b	x	b	b	b	x	p
x	o	o	b	o	b	x	x	x	p
x	o	o	b	b	o	x	x	x	p
x	o	b	x	x	x	o	o	b	p
x	o	b	x	x	x	o	b	o	p
x	o	b	x	x	x	b	o	o	p
x	o	b	x	x	o	x	o	b	p
x	o	b	x	x	o	x	b	o	p
x	o	b	x	x	o	o	b	x	p
x	o	b	x	x	o	b	o	x	p
x	o	b	x	x	b	x	o	o	p
x	o	b	x	x	b	o	o	x	p
x	o	b	x	o	x	x	b	o	p
x	o	b	x	o	o	x	x	b	p
x	o	b	x	o	o	x	b	x	p
x	o	b	x	o	b	x	x	o	p
x	o	b	x	o	b	x	b	b	p
x	o	b	x	b	x	x	o	o	p
x	o	b	x	b	o	x	x	o	p
x	o	b	x	b	o	x	o	x	p
x	o	b	x	b	o	x	b	b	p
x	o	b	x	b	b	x	o	b	p
x	o	b	x	b	b	x	b	o	p
x	o	b	o	x	x	o	b	x	p
x	o	b	o	x	x	b	o	x	p
x	o	b	o	x	o	x	b	x	p
x	o	b	o	x	o	b	x	x	p
x	o	b	o	x	b	x	o	x	p
x	o	b	o	x	b	o	x	x	p
x	o	b	o	x	b	b	b	x	p
x	o	b	o	o	b	x	x	x	p
x	o	b	o	b	o	x	x	x	p
x	o	b	b	x	x	o	o	x	p
x	o	b	b	x	o	x	o	x	p
x	o	b	b	x	o	o	x	x	p
x	o	b	b	x	o	b	b	x	p
x	o	b	b	x	b	o	b	x	p
x	o	b	b	x	b	b	o	x	p
x	o	b	b	o	o	x	x	x	p
x	b	x	x	o	o	x	o	b	p
x	b	x	x	o	o	x	b	o	p
x	b	x	x	o	b	x	o	o	p
x	b	x	x	b	o	x	o	o	p
x	b	x	o	x	o	x	o	b	p
x	b	x	o	x	o	x	b	o	p
x	b	x	o	x	o	o	b	x	p
x	b	x	o	x	o	b	o	x	p
x	b	x	o	x	b	x	o	o	p
x	b	x	o	x	b	o	o	x	p
x	b	x	o	o	x	o	b	x	p
x	b	x	o	o	x	b	o	x	p
x	b	x	o	b	x	o	o	x	p
x	b	x	b	x	o	x	o	o	p
x	b	x	b	x	o	o	o	x	p
x	b	x	b	o	x	o	o	x	p
x	b	o	x	x	x	o	o	b	p
x	b	o	x	x	x	o	b	o	p
x	b	o	x	x	x	b	o	o	p
x	b	o	x	x	o	x	o	b	p
x	b	o	x	x	o	o	b	x	p
x	b	o	x	x	o	b	o	x	p
x	b	o	x	x	b	x	o	o	p
x	b	o	x	x	b	o	o	x	p
x	b	o	x	o	x	x	o	b	p
x	b	o	x	o	x	x	b	o	p
x	b	o	x	o	o	x	x	b	p
x	b	o	x	o	o	x	b	x	p
x	b	o	x	o	b	x	x	o	p
x	b	o	x	o	b	x	o	x	p
x	b	o	x	o	b	x	b	b	p
x	b	o	x	b	x	x	o	o	p
x	b	o	x	b	o	x	o	x	p
x	b	o	x	b	o	x	b	b	p
x	b	o	x	b	b	x	o	b	p
x	b	o	x	b	b	x	b	o	p
x	b	o	o	x	x	o	b	x	p
x	b	o	o	x	x	b	o	x	p
x	b	o	o	x	o	x	b	x	p
x	b	o	o	x	o	b	x	x	p
x	b	o	o	x	b	x	o	x	p
x	b	o	o	x	b	o	x	x	p
x	b	o	o	x	b	b	b	x	p
x	b	o	o	o	b	x	x	x	p
x	b	o	o	b	o	x	x	x	p
x	b	o	b	x	x	o	o	x	p
x	b	o	b	x	o	x	o	x	p
x	b	o	b	x	o	o	x	x	p
x	b	o	b	x	o	b	b	x	p
x	b	o	b	x	b	o	b	x	p
x	b	o	b	x	b	b	o	x	p
x	b	o	b	o	o	x	x	x	p
x	b	b	x	x	o	x	o	o	p
x	b	b	x	x	o	o	o	x	p
x	b	b	x	o	x	x	o	o	p
x	b	b	x	o	o	x	x	o	p
x	b	b	x	o	o	x	o	x	p
x	b	b	x	o	o	x	b	b	p
x	b	b	x	o	b	x	o	b	p
x	b	b	x	o	b	x	b	o	p
x	b	b	x	b	o	x	o	b	p
x	b	b	x	b	o	x	b	o	p
x	b	b	x	b	b	x	o	o	p
x	b	b	o	x	x	o	o	x	p
x	b	b	o	x	o	x	o	x	p
x	b	b	o	x	o	o	x	x	p
x	b	b	o	x	o	b	b	x	p
x	b	b	o	x	b	o	b	x	p
x	b	b	o	x	b	b	o	x	p
x	b	b	b	x	o	o	b	x	p
x	b	b	b	x	o	b	o	x	p
x	b	b	b	x	b	o	o	x	p
o	x	x	x	x	o	x	o	o	p
o	x	x	x	x	o	o	x	o	p
o	x	x	x	o	x	o	o	x	p
o	x	x	o	x	x	x	o	o	p
o	x	x	o	x	o	x	x	o	p
o	x	x	o	x	o	x	o	x	p
o	x	x	o	x	o	x	b	b	p
o	x	x	o	x	o	b	x	b	p
o	x	x	o	x	b	x	o	b	p
o	x	x	o	x	b	x	b	o	p
o	x	x	o	x	b	b	x	o	p
o	x	x	o	o	x	x	o	x	p
o	x	x	o	o	x	b	b	x	p
o	x	x	o	b	x	b	o	x	p
o	x	x	b	x	o	x	o	b	p
o	x	x	b	x	o	x	b	o	p
o	x	x	b	x	o	o	x	b	p
o	x	x	b	x	o	b	x	o	p
o	x	x	b	x	b	x	o	o	p
o	x	x	b	x	b	o	x	o	p
o	x	x	b	o	x	o	b	x	p
o	x	x	b	o	x	b	o	x	p
o	x	x	b	b	x	o	o	x	p
o	x	o	x	x	x	x	o	o	p
o	x	o	x	x	x	o	x	o	p
o	x	o	x	x	x	o	o	x	p
o	x	o	x	x	x	o	b	b	p
o	x	o	x	x	x	b	o	b	p
o	x	o	x	x	x	b	b	o	p
o	x	o	x	x	o	o	x	x	p
o	x	o	x	x	o	b	x	b	p
o	x	o	x	x	b	o	x	b	p
o	x	o	x	x	b	b	x	o	p
o	x	o	x	o	o	x	x	x	p
o	x	o	o	x	x	x	x	o	p
o	x	o	o	x	x	b	x	b	p
o	x	o	o	x	o	x	x	x	p
o	x	o	o	x	b	x	x	b	p
o	x	o	o	x	b	b	x	x	p
o	x	o	o	o	x	x	x	x	p
o	x	o	o	b	b	x	x	x	p
o	x	o	b	x	x	o	x	b	p
o	x	o	b	x	x	b	x	o	p
o	x	o	b	x	o	x	x	b	p
o	x	o	b	x	o	b	x	x	p
o	x	o	b	x	b	x	x	o	p
o	x	o	b	x	b	o	x	x	p
o	x	o	b	x	b	b	x	b	p
o	x	o	b	o	b	x	x	x	p
o	x	o	b	b	o	x	x	x	p
o	x	b	x	x	x	o	o	b	p
o	x	b	x	x	x	o	b	o	p
o	x	b	x	x	x	b	o	o	p
o	x	b	x	x	o	o	x	b	p
o	x	b	x	x	o	b	x	o	p
o	x	b	x	x	b	o	x	o	p
o	x	b	o	x	x	b	x	o	p
o	x	b	o	x	o	x	x	b	p
o	x	b	o	x	o	b	x	x	p
o	x	b	o	x	b	x	x	o	p
o	x	b	o	x	b	b	x	b	p
o	x	b	o	o	b	x	x	x	p
o	x	b	o	b	o	x	x	x	p
o	x	b	b	x	x	o	x	o	p
o	x	b	b	x	o	x	x	o	p
o	x	b	b	x	o	o	x	x	p
o	x	b	b	x	o	b	x	b	p
o	x	b	b	x	b	o	x	b	p
o	x	b	b	x	b	b	x	o	p
o	x	b	b	o	o	x	x	x	p
o	o	x	x	x	x	x	o	o	p
o	o	x	x	x	x	o	x	o	p
o	o	x	x	x	x	o	o	x	p
o	o	x	x	x	x	o	b	b	p
o	o	x	x	x	x	b	o	b	p
o	o	x	x	x	x	b	b	o	p
o	o	x	x	x	o	x	x	o	p
o	o	x	x	x	o	x	o	x	p
o	o	x	x	x	o	x	b	b	p
o	o	x	x	x	b	x	o	b	p
o	o	x	x	x	b	x	b	o	p
o	o	x	x	o	x	o	x	x	p
o	o	x	x	o	x	b	b	x	p
o	o	x	x	o	o	x	x	x	p
o	o	x	x	b	x	o	b	x	p
o	o	x	x	b	x	b	o	x	p
o	o	x	o	x	x	x	x	o	p
o	o	x	o	x	x	x	o	x	p
o	o	x	o	x	x	x	b	b	p
o	o	x	o	x	x	b	b	x	p
o	o	x	o	x	o	x	x	x	p
o	o	x	o	x	b	x	x	b	p
o	o	x	o	x	b	x	b	x	p
o	o	x	o	o	x	x	x	x	p
o	o	x	o	b	x	x	b	x	p
o	o	x	o	b	x	b	x	x	p
o	o	x	o	b	b	x	x	x	p
o	o	x	b	x	x	x	o	b	p
o	o	x	b	x	x	x	b	o	p
o	o	x	b	x	x	o	b	x	p
o	o	x	b	x	x	b	o	x	p
o	o	x	b	x	o	x	x	b	p
o	o	x	b	x	o	x	b	x	p
o	o	x	b	x	b	x	x	o	p
o	o	x	b	x	b	x	o	x	p
o	o	x	b	x	b	x	b	b	p
o	o	x	b	o	x	x	b	x	p
o	o	x	b	o	x	b	x	x	p
o	o	x	b	o	b	x	x	x	p
o	o	x	b	b	x	x	o	x	p
o	o	x	b	b	x	o	x	x	p
