status	age	sex	survived
d	d	d	d
			class
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	yes
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
first	adult	male	no
