Name	Q-E	ZN-E	PH-E	DBO-E	DQO-E	SS-E	SSV-E	SED-E	COND-E	PH-P	DBO-P	SS-P	SSV-P	SED-P	COND-P	PH-D	DBO-D	DQO-D	SS-D	SSV-D	SED-D	COND-D	PH-S	DBO-S	DQO-S	SS-S	SSV-S	SED-S	COND-S	RD-DBO-P	RD-SS-P	RD-SED-P	RD-DBO-S	RD-DQO-S	RD-DBO-G	RD-DQO-G	RD-SS-G	RD-SSED-G
string	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c
i
D-1/3/90	44101	1.50	7.8	?	407	166	66.3	4.5	2110	7.9	?	228	70.2	5.5	2120	7.9	?	280	94	72.3	0.3	2010	7.3	?	84	21	81.0	0.02	2000	?	58.8	95.5	?	70.0	?	79.4	87.3	99.6
D-2/3/90	39024	3.00	7.7	?	443	214	69.2	6.5	2660	7.7	?	244	75.4	7.7	2570	7.6	?	474	96	79.2	0.4	2700	7.5	?	91	17	94.1	0.00	2590	?	60.7	94.8	?	80.8	?	79.5	92.1	100
D-4/3/90	32229	5.00	7.6	?	528	186	69.9	3.4	1666	7.7	?	220	72.7	4.5	1594	7.7	?	272	92	78.3	0.2	1742	7.6	?	128	21	81	0.05	1888	?	58.2	95.6	?	52.9	?	75.8	88.7	98.5
D-5/3/90	35023	3.50	7.9	205	588	192	65.6	4.5	2430	7.8	236	268	73.1	8.5	2280	7.8	158	376	96	77.1	0.4	2060	7.6	20	104	20	96.7	0.00	1840	33.1	64.2	95.3	87.3	72.3	90.2	82.3	89.6	100
D-6/3/90	36924	1.50	8.0	242	496	176	64.8	4.0	2110	7.9	?	236	57.6	4.5	2020	7.8	?	372	88	68.2	0.2	2250	7.6	19	108	22	65.9	0.02	2120	?	62.7	95.6	?	71.0	92.1	78.2	87.5	99.5
D-7/3/90	38572	3.00	7.8	202	372	186	68.8	4.5	1644	7.8	?	248	66.1	8.5	1762	7.7	150	460	100	76.0	0.3	1768	7.5	20	100	28	82.1	0.00	1764	?	59.7	96.5	86.7	78.3	90.1	73.1	84.9	100
D-8/3/90	41115	6.00	7.8	?	552	262	64.1	5.0	1603	7.8	?	320	67.5	6.5	1608	7.8	192	376	122	72.1	0.4	1668	7.5	21	76	26	84.6	0.05	1703	?	61.9	93.8	89.1	79.8	?	86.2	90.1	99.0
D-9/3/90	36107	5.00	7.7	215	489	334	40.7	6.0	1613	7.6	?	304	53.9	8.0	1557	7.6	181	350	90	71.1	0.4	1596	7.5	17	162	18	66.7	0.00	1606	?	70.4	95.6	90.6	53.7	92.1	66.9	94.6	100
