catsize	predator	aquatic	fins	feathers	type	name	images
d	d	d	d	d	d	string	string
					class	meta	meta type=image
1	0	0	0	0	mammal	antelope	http://i.imgur.com/l4DYQJb.png
0	1	1	1	0	fish	bass	http://i.imgur.com/Kd5uTYY.jpg
1	1	0	0	0	mammal	bear	http://i.imgur.com/RshdH5C.png
1	1	0	0	0	mammal	boar	http://i.imgur.com/aeU9kSt.jpg
0	0	1	1	0	fish	carp	http://i.imgur.com/4fA4ky7.jpg
0	1	1	1	0	fish	catfish	http://i.imgur.com/lKFiWKu.jpg
0	0	0	0	1	bird	chicken	http://i.imgur.com/Vk9M2vk.jpg
1	0	0	0	0	mammal	deer	http://i.imgur.com/VdyeyIu.png
1	1	1	1	0	mammal	dolphin	http://i.imgur.com/1zBVYru.jpg
0	0	1	0	1	bird	duck	http://i.imgur.com/9nl7YSS.jpg
0	1	1	0	1	bird	gull	http://i.imgur.com/ahRl1X7.jpg
0	0	1	1	0	fish	haddock	http://i.imgur.com/eZaWykE.jpg
0	0	0	0	0	mammal	hamster	http://i.imgur.com/6c4GURB.jpg
0	1	0	0	1	bird	kiwi	http://i.imgur.com/3Fao7gt.jpg
1	1	1	0	0	mammal	mink	http://i.imgur.com/ldX54Ww.jpg
