name	images
string	string
meta	meta type=image
antelope	http://icons.iconarchive.com/icons/joseph-aeron/us-fish-and-wildlife-service/128/antelope-icon.png
bass	http://images2.fanpop.com/images/photos/5700000/Largemouth-Bass-fishing-5708828-120-106.jpg
bear	http://icons.iconarchive.com/icons/iconshock/alaska/256/Polar-Bear-icon.png
boar	https://pbs.twimg.com/profile_images/2967299392/e0aa28ab427452deacc567a8f2816b3f.jpeg
carp	http://www.landbigfish.com/images/fish/LBF_Common_Carp.jpg
catfish	http://www.agfc.com/speciesPhotos/fish_catfish_yellowbullhead.jpg
chicken	http://latimesblogs.latimes.com/.a/6a00d8341c630a53ef01156f75357a970c-400wi
deer	http://icons.iconarchive.com/icons/joseph-aeron/us-fish-and-wildlife-service/128/deer-icon.png
dolphin	http://f0.pepst.com/c/D7D076/36618/ssc3/home/023/deepakjain/albums/dolphin_14kb.jpg_480_480_0_64000_0_1_0.jpg
duck	http://i.dailymail.co.uk/i/pix/2009/05/21/article-1185197-05075EEF000005DC-380_468x286.jpg
gull	http://www.allaboutbirds.org/guide/PHOTO/LARGE/herring_gull_adult_breeding2.jpg
haddock	http://www.oceantrawlers.com/sites/default/files/haddock_0.png?1317994124
hamster	http://img3.wikia.nocookie.net/__cb20130325185045/animalcrossing/images/4/49/Tumblr_lvrcmvCpsS1qbeyouo1_500.jpg
kiwi	http://i.telegraph.co.uk/multimedia/archive/01891/kiwi_1891642c.jpg
mink	http://i.dailymail.co.uk/i/pix/2012/05/15/article-2144681-0D4F15C800000578-601_468x370.jpg
